Ответ из БЗ,Вопрос из БЗ,Классификатор 1 уровня,Классификатор 2 уровня,concat
"Монетизация на RUTUBE зависит в том числе от количества просмотров и приостановок видеопотока. Алгоритмы платформы очень внимательно следят за статистикой и понимают, когда показатели завышены искусственно. Это нарушает п. 2.3.17 оферты: https://rutube.ru/info/adv_oferta/ и п. 1.33 приложения № 1 к оферте: https://rutube.ru/info/adv_oferta_glossary/ и может быть причиной отключения монетизации.  Не завышайте показатели искусственно, соблюдайте правила и зарабатывайте на RUTUBE честным способом. Подробнее о правилах Пользовательского соглашения: https://rutube.ru/info/agreement/",Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"Категория вопроса: Отключение/подключение монетизации
Вопрос: Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? 
Ответ: Монетизация на RUTUBE зависит в том числе от количества просмотров и приостановок видеопотока. Алгоритмы платформы очень внимательно следят за статистикой и понимают, когда показатели завышены искусственно. Это нарушает п. 2.3.17 оферты: https://rutube.ru/info/adv_oferta/ и п. 1.33 приложения № 1 к оферте: https://rutube.ru/info/adv_oferta_glossary/ и может быть причиной отключения монетизации.  Не завышайте показатели искусственно, соблюдайте правила и зарабатывайте на RUTUBE честным способом. Подробнее о правилах Пользовательского соглашения: https://rutube.ru/info/agreement/"
"Мы можем помочь вам удалить аккаунт, для этого направьте нам на help@rutube.ru e-mail или номер телефона, на который он зарегистрирован, а также ссылку на канал и скриншот из общих настроек профиля, чтобы мы могли идентифицировать вас как владельца канала. В течение 30 дней вы можете восстановить ваш аккаунт и все содержимое.",Я хочу удалить свой аккаунт. Как это сделать?,УПРАВЛЕНИЕ АККАУНТОМ,Удаление аккаунта,"Категория вопроса: Удаление аккаунта
Вопрос: Я хочу удалить свой аккаунт. Как это сделать?
Ответ: Мы можем помочь вам удалить аккаунт, для этого направьте нам на help@rutube.ru e-mail или номер телефона, на который он зарегистрирован, а также ссылку на канал и скриншот из общих настроек профиля, чтобы мы могли идентифицировать вас как владельца канала. В течение 30 дней вы можете восстановить ваш аккаунт и все содержимое."
Мы не предоставляем сервис по копированию и скачиванию видеороликов с сайта. Осуществление пользователями действий по копированию видеороликов нарушает п. 2.1.1 Пользовательского соглашения RUTUBE: https://rutube.ru/info/agreement и может повлечь за собой ответственность за несанкционированные действия (см. п. 4.8. данного Соглашения).,Могу ли я скачать видеоролик с RUTUBE на свой компьютер?,ОТСУТСТВУЕТ,Отсутствует,"Категория вопроса: Отсутствует
Вопрос: Могу ли я скачать видеоролик с RUTUBE на свой компьютер?
Ответ: Мы не предоставляем сервис по копированию и скачиванию видеороликов с сайта. Осуществление пользователями действий по копированию видеороликов нарушает п. 2.1.1 Пользовательского соглашения RUTUBE: https://rutube.ru/info/agreement и может повлечь за собой ответственность за несанкционированные действия (см. п. 4.8. данного Соглашения)."
"Мы рекомендуем соблюдать следующие требования: Разрешение: 2204х864 пикселей Формат: jpeg, jpg или png Размер файла: не более 10 МБ.",Какие требования к обложке канала?,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,"Категория вопроса: Персонализация
Вопрос: Какие требования к обложке канала?
Ответ: Мы рекомендуем соблюдать следующие требования: Разрешение: 2204х864 пикселей Формат: jpeg, jpg или png Размер файла: не более 10 МБ."
"Мы рекомендуем соблюдать следующие требования: Разрешение: до 1920х1080. Формат: jpeg, jpg или png Размер файла: не более 10 МБ.",Какие требования к обложке видео?,ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: Какие требования к обложке видео?
Ответ: Мы рекомендуем соблюдать следующие требования: Разрешение: до 1920х1080. Формат: jpeg, jpg или png Размер файла: не более 10 МБ."
"Мы строго следуем правилам платформы, а именно п. 4.18, 4.27, 4.30 Генерального пользовательского соглашения RUTUBE.","Почему вы не разглашаете, чьи авторские права я нарушаю?",МОДЕРАЦИЯ,Отклонение/блокировка видео,"Категория вопроса: Отклонение/блокировка видео
Вопрос: Почему вы не разглашаете, чьи авторские права я нарушаю?
Ответ: Мы строго следуем правилам платформы, а именно п. 4.18, 4.27, 4.30 Генерального пользовательского соглашения RUTUBE."
"На данный момент в приложении такой возможности нет, но вы можете подключиться к партнерской программе в веб-версии Студии в разделе ""Монетизация"": https://studio.rutube.ru/monetization Подробнее про подключение к партнерской программе: https://rutube.ru/info/monetization",Как подключиться к партнерской программе в приложении Студия RUTUBE?,ПРЕДЛОЖЕНИЯ,Монетизация,"Категория вопроса: Монетизация
Вопрос: Как подключиться к партнерской программе в приложении Студия RUTUBE?
Ответ: На данный момент в приложении такой возможности нет, но вы можете подключиться к партнерской программе в веб-версии Студии в разделе ""Монетизация"": https://studio.rutube.ru/monetization Подробнее про подключение к партнерской программе: https://rutube.ru/info/monetization"
"На данный момент в приложении такой возможности нет, но вы можете подключиться к партнерской программе в веб-версии Студии в разделе ""Монетизация"": ссылка Подробнее про подключение к партнерской программе: https://rutube.ru/info/monetization",Как подключиться к партнерской программе в приложении Студия RUTUBE?,ПРЕДЛОЖЕНИЯ,Монетизация,"Категория вопроса: Монетизация
Вопрос: Как подключиться к партнерской программе в приложении Студия RUTUBE?
Ответ: На данный момент в приложении такой возможности нет, но вы можете подключиться к партнерской программе в веб-версии Студии в разделе ""Монетизация"": ссылка Подробнее про подключение к партнерской программе: https://rutube.ru/info/monetization"
"На данный момент в приложении такой возможности нет, но вы можете посмотреть аналитику в веб-версии Студии, для этого перейдите в раздел ""Монетизация"" и нажмите на вкладку ""Видео"": https://studio.rutube.ru/monetization",Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?,ПРЕДЛОЖЕНИЯ,Монетизация,"Категория вопроса: Монетизация
Вопрос: Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?
Ответ: На данный момент в приложении такой возможности нет, но вы можете посмотреть аналитику в веб-версии Студии, для этого перейдите в раздел ""Монетизация"" и нажмите на вкладку ""Видео"": https://studio.rutube.ru/monetization"
"На данный момент вы можете посмотреть аналитику только по последнему опубликованному видео. Чтобы посмотреть аналитику по другим видео вы можете воспользоваться разделом ""Аналитика"" выбрав вкладку ""Видео"" в веб-версии Студии: ссылка",Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE?,ПРЕДЛОЖЕНИЯ,Студия RUTUBE,"Категория вопроса: Студия RUTUBE
Вопрос: Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE?
Ответ: На данный момент вы можете посмотреть аналитику только по последнему опубликованному видео. Чтобы посмотреть аналитику по другим видео вы можете воспользоваться разделом ""Аналитика"" выбрав вкладку ""Видео"" в веб-версии Студии: ссылка"
"На данный момент такой возможности нет, но мы ее обязательно добавим в следующих обновлениях. Рекомендуем воспользоваться разделом ""Комментарии"" в веб-версии Студии: https://studio.rutube.ru/comments","Можно ли заблокировать пользователя, оставляющего оскорбительные комментарии?",ПРЕДЛОЖЕНИЯ,Студия RUTUBE,"Категория вопроса: Студия RUTUBE
Вопрос: Можно ли заблокировать пользователя, оставляющего оскорбительные комментарии?
Ответ: На данный момент такой возможности нет, но мы ее обязательно добавим в следующих обновлениях. Рекомендуем воспользоваться разделом ""Комментарии"" в веб-версии Студии: https://studio.rutube.ru/comments"
"На данный момент такой возможности нет, но мы ее обязательно добавим в следующих обновлениях. Рекомендуем воспользоваться разделом ""Комментарии"" в веб-версии Студии: https://studio.rutube.ru/comments",Можно ли работать с комментариями в приложении Студия RUTUBE?,ПРЕДЛОЖЕНИЯ,Студия RUTUBE,"Категория вопроса: Студия RUTUBE
Вопрос: Можно ли работать с комментариями в приложении Студия RUTUBE?
Ответ: На данный момент такой возможности нет, но мы ее обязательно добавим в следующих обновлениях. Рекомендуем воспользоваться разделом ""Комментарии"" в веб-версии Студии: https://studio.rutube.ru/comments"
На данный момент такой возможности нет.,"Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?",ПРЕДЛОЖЕНИЯ,Навигация,"Категория вопроса: Навигация
Вопрос: Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?
Ответ: На данный момент такой возможности нет."
"На сайте RUTUBE — на главной странице и в правом боковом меню, а также в мобильном приложении RUTUBE — на главной странице и в нижнем меню.",Где расположен раздел Shorts?,ВИДЕО,Воспроизведение видео,"Категория вопроса: Воспроизведение видео
Вопрос: Где расположен раздел Shorts?
Ответ: На сайте RUTUBE — на главной странице и в правом боковом меню, а также в мобильном приложении RUTUBE — на главной странице и в нижнем меню."
Нажмите «Очистить историю» на экране истории просмотра в разделе «Моё».,Как очистить историю просмотра?,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,"Категория вопроса: Персонализация
Вопрос: Как очистить историю просмотра?
Ответ: Нажмите «Очистить историю» на экране истории просмотра в разделе «Моё»."
"Нажмите на кнопку ""Добавить пользователя"" блока ""Доступы к студии канала"" в настройках канала: https://studio.rutube.ru/channel-settings. Далее заполните форму добавления пользователя и нажмите на кнопку ""Добавить"". Важно помнить, вы можете предоставить доступ к студии канала тем пользователям, у которых есть аккаунт на RUTUBE или свой канал.",Как предоставить доступ к студии моего канала другому пользователю?,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,"Категория вопроса: Персонализация
Вопрос: Как предоставить доступ к студии моего канала другому пользователю?
Ответ: Нажмите на кнопку ""Добавить пользователя"" блока ""Доступы к студии канала"" в настройках канала: https://studio.rutube.ru/channel-settings. Далее заполните форму добавления пользователя и нажмите на кнопку ""Добавить"". Важно помнить, вы можете предоставить доступ к студии канала тем пользователям, у которых есть аккаунт на RUTUBE или свой канал."
"Нажмите на кнопку «Вход и регистрация» в правом верхнем углу страницы. В появившемся окне введите адрес электронной почты или номер телефона, по которому вы регистрировались, и нажмите «Продолжить». В окне ввода пароля нажмите внизу на сноску «Забыли пароль?», после чего на привязанный к профилю электронный адрес придет код для сброса пароля.",Как восстановить пароль?,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,"Категория вопроса: Персонализация
Вопрос: Как восстановить пароль?
Ответ: Нажмите на кнопку «Вход и регистрация» в правом верхнем углу страницы. В появившемся окне введите адрес электронной почты или номер телефона, по которому вы регистрировались, и нажмите «Продолжить». В окне ввода пароля нажмите внизу на сноску «Забыли пароль?», после чего на привязанный к профилю электронный адрес придет код для сброса пароля."
"Нажмите на кнопку с иконкой субтитров в плеере или используйте горячую клавишу «С». Чтобы отключить субтитры, нажмите ту же кнопку или горячую клавишу «С».",Как включить субтитры в видео?,ВИДЕО,Управление плеером,"Категория вопроса: Управление плеером
Вопрос: Как включить субтитры в видео?
Ответ: Нажмите на кнопку с иконкой субтитров в плеере или используйте горячую клавишу «С». Чтобы отключить субтитры, нажмите ту же кнопку или горячую клавишу «С»."
"Нажмите на лупу, а потом на кнопку «Очистить» в верхнем правом углу экрана.",Как очистить историю поиска?,ПОИСК,История поиска,"Категория вопроса: История поиска
Вопрос: Как очистить историю поиска?
Ответ: Нажмите на лупу, а потом на кнопку «Очистить» в верхнем правом углу экрана."
"Нажмите на нужное видео в разделе «Видео» в Студии RUTUBE по ссылке https://studio.rutube.ru/videos

Изменить можно название, описание, обложку, доступ, а также открыть или закрыть комментарии. Не получится изменить категорию, загрузить другой файл по той же ссылке или убрать отметку 18+, если её поставил модератор.",Как изменить мой ролик?,ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: Как изменить мой ролик?
Ответ: Нажмите на нужное видео в разделе «Видео» в Студии RUTUBE по ссылке https://studio.rutube.ru/videos

Изменить можно название, описание, обложку, доступ, а также открыть или закрыть комментарии. Не получится изменить категорию, загрузить другой файл по той же ссылке или убрать отметку 18+, если её поставил модератор."
"Нажмите на фото своего профиля в правом верхнем углу, выберите ""Поддержка"", а далее вы можете отправить обращение на help@rutube.ru",Как написать обращение в поддержку через приложение Студия RUTUBE?,ОТСУТСТВУЕТ,Отсутствует,"Категория вопроса: Отсутствует
Вопрос: Как написать обращение в поддержку через приложение Студия RUTUBE?
Ответ: Нажмите на фото своего профиля в правом верхнем углу, выберите ""Поддержка"", а далее вы можете отправить обращение на help@rutube.ru"
"Нажмите на фото своего профиля в правом верхнем углу, выберите ""Поддержка"", а далее вы можете отправить обращение на help@rutube.ru",Как написать обращение в поддержку через приложение Студия RUTUBE? ,ОТСУТСТВУЕТ,Отсутствует,"Категория вопроса: Отсутствует
Вопрос: Как написать обращение в поддержку через приложение Студия RUTUBE? 
Ответ: Нажмите на фото своего профиля в правом верхнем углу, выберите ""Поддержка"", а далее вы можете отправить обращение на help@rutube.ru"
"Напишите в поддержку на help@rutube.ru указав электронную почту или номер телефона, на которые регистрировался аккаунт.",Не могу зарегистрироваться/авторизоваться в приложении Студия RUTUBE. Что делать?  ,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,"Категория вопроса: Регистрация/Авторизация
Вопрос: Не могу зарегистрироваться/авторизоваться в приложении Студия RUTUBE. Что делать?  
Ответ: Напишите в поддержку на help@rutube.ru указав электронную почту или номер телефона, на которые регистрировался аккаунт."
"Напишите в поддержку на help@rutube.ru указав электронную почту или номер телефона, на которые регистрировался аккаунт.",Не могу зарегистрироваться/авторизоваться в приложении. Что делать?,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,"Категория вопроса: Регистрация/Авторизация
Вопрос: Не могу зарегистрироваться/авторизоваться в приложении. Что делать?
Ответ: Напишите в поддержку на help@rutube.ru указав электронную почту или номер телефона, на которые регистрировался аккаунт."
"Напишите в поддержку на help@rutube.ru, в письме укажите, на какой e-mail регистрировался аккаунт, а также номер телефона (если он привязывался) - мы поможем вам восстановить доступ к аккаунту.","Что делать, если у меня уже нет доступа к ранее указанному адресу электронной почты?",УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,"Категория вопроса: Регистрация/Авторизация
Вопрос: Что делать, если у меня уже нет доступа к ранее указанному адресу электронной почты?
Ответ: Напишите в поддержку на help@rutube.ru, в письме укажите, на какой e-mail регистрировался аккаунт, а также номер телефона (если он привязывался) - мы поможем вам восстановить доступ к аккаунту."
"Начисление вознаграждения и фиксация данных для его расчета начнётся с 1го числа месяца, в котором вы стали участником партнёрской программы.",Монетизация подключена. С какого момента будет рассчитываться вознаграждение? ,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"Категория вопроса: Отключение/подключение монетизации
Вопрос: Монетизация подключена. С какого момента будет рассчитываться вознаграждение? 
Ответ: Начисление вознаграждения и фиксация данных для его расчета начнётся с 1го числа месяца, в котором вы стали участником партнёрской программы."
"Некоторые прямые эфиры временно недоступны на ТВ, но совсем скоро мы это исправим. А пока рекомендуем смотреть эфиры на сайте https://rutube.ru.","В приложении RUTUBE для ТВ недоступны каналы СТС, Рен ТВ, Че, Домашний, что делать?",ТРАНСЛЯЦИЯ,ТВ-эфиры,"Категория вопроса: ТВ-эфиры
Вопрос: В приложении RUTUBE для ТВ недоступны каналы СТС, Рен ТВ, Че, Домашний, что делать?
Ответ: Некоторые прямые эфиры временно недоступны на ТВ, но совсем скоро мы это исправим. А пока рекомендуем смотреть эфиры на сайте https://rutube.ru."
Необходимо соблюдать условия Пользовательского соглашения: https://rutube.ru/info/agreement/. Модераторы могут заблокировать эфир за нарушения.,Что я могу и что не могу делать во время трансляции (стрима)?,МОДЕРАЦИЯ,Отклонение/блокировка видео,"Категория вопроса: Отклонение/блокировка видео
Вопрос: Что я могу и что не могу делать во время трансляции (стрима)?
Ответ: Необходимо соблюдать условия Пользовательского соглашения: https://rutube.ru/info/agreement/. Модераторы могут заблокировать эфир за нарушения."
Нет ограничений. Можно настроить ПО и другие стриминговые средства для одновременной трансляции на несколько площадок.,"Есть ли ограничения на одновременное проведение трансляций на RUTUBE и на других площадках (YouTube, Twitch и VK)?",ТРАНСЛЯЦИЯ,Управление трансляцией,"Категория вопроса: Управление трансляцией
Вопрос: Есть ли ограничения на одновременное проведение трансляций на RUTUBE и на других площадках (YouTube, Twitch и VK)?
Ответ: Нет ограничений. Можно настроить ПО и другие стриминговые средства для одновременной трансляции на несколько площадок."
Нет ограничений. Рекомендуются бесплатные ПО OBS Studio (https://obsproject.com/ru) и VMix (https://www.vmix.com/).,С помощью каких программ допускается вести трансляции на RUTUBE?,ТРАНСЛЯЦИЯ,Управление трансляцией,"Категория вопроса: Управление трансляцией
Вопрос: С помощью каких программ допускается вести трансляции на RUTUBE?
Ответ: Нет ограничений. Рекомендуются бесплатные ПО OBS Studio (https://obsproject.com/ru) и VMix (https://www.vmix.com/)."
"Нет, Редактор не сможет создать трансляцию, так как наличие телефона владельца канала является обязательным условием для этого действия.","Может ли пользователь с правами Редактора создать трансляцию, если у Владельца канала не указан в профиле номер телефона?",ПРЕДЛОЖЕНИЯ,Трансляция,"Категория вопроса: Трансляция
Вопрос: Может ли пользователь с правами Редактора создать трансляцию, если у Владельца канала не указан в профиле номер телефона?
Ответ: Нет, Редактор не сможет создать трансляцию, так как наличие телефона владельца канала является обязательным условием для этого действия."
"Нет, возможность скачивания видео с RUTUBE, включая записи трансляций, отсутствует.",Можно ли скачать файл записи своей трансляции на RUTUBE по ее завершению?,ПРЕДЛОЖЕНИЯ,Студия RUTUBE,"Категория вопроса: Студия RUTUBE
Вопрос: Можно ли скачать файл записи своей трансляции на RUTUBE по ее завершению?
Ответ: Нет, возможность скачивания видео с RUTUBE, включая записи трансляций, отсутствует."
"Нет, действует ограничение, в рамках которого пользователь может иметь доступ к чужой студии только в одной роли.",Может ли один пользователь занимать сразу несколько ролей доступа в рамках студии одного канала?,ПРЕДЛОЖЕНИЯ,Студия RUTUBE,"Категория вопроса: Студия RUTUBE
Вопрос: Может ли один пользователь занимать сразу несколько ролей доступа в рамках студии одного канала?
Ответ: Нет, действует ограничение, в рамках которого пользователь может иметь доступ к чужой студии только в одной роли."
"Нет, ограничений на количество Shorts на главной нет. Однако алгоритм попадания видео в раздел Shorts работает по внутренним процессам платформы.","Есть ли ограничения на количество видео, размещаемых в разделе Shorts на главной?",ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: Есть ли ограничения на количество видео, размещаемых в разделе Shorts на главной?
Ответ: Нет, ограничений на количество Shorts на главной нет. Однако алгоритм попадания видео в раздел Shorts работает по внутренним процессам платформы."
"Нет, по статусу вы можете отфильтровать только опубликованные и запланированные видео.","Можно ли отсортировать видео по статусу в категории ""Модерация/Отклонено"" в приложении Студия RUTUBE?",ПРЕДЛОЖЕНИЯ,Навигация,"Категория вопроса: Навигация
Вопрос: Можно ли отсортировать видео по статусу в категории ""Модерация/Отклонено"" в приложении Студия RUTUBE?
Ответ: Нет, по статусу вы можете отфильтровать только опубликованные и запланированные видео."
"Нет, по статусу вы можете отфильтровать только опубликованные и запланированные видео.","Можно ли отсортировать видео по статусу в категории ""Модерация/Отклонено""?",ПРЕДЛОЖЕНИЯ,Навигация,"Категория вопроса: Навигация
Вопрос: Можно ли отсортировать видео по статусу в категории ""Модерация/Отклонено""?
Ответ: Нет, по статусу вы можете отфильтровать только опубликованные и запланированные видео."
"Нет, предоставить доступ возможно только зарегистрированному пользователю RUTUBE с действующим профилем.","Можно ли предоставить доступ к студии канала другому пользователю, не зарегистрированному на RUTUBE?",ПРЕДЛОЖЕНИЯ,Студия RUTUBE,"Категория вопроса: Студия RUTUBE
Вопрос: Можно ли предоставить доступ к студии канала другому пользователю, не зарегистрированному на RUTUBE?
Ответ: Нет, предоставить доступ возможно только зарегистрированному пользователю RUTUBE с действующим профилем."
"Нет, предоставление доступа возможно только по номеру телефона или электронной почте, привязанные к действующему профилю RUTUBE.",Можно ли предоставить доступ к студии канала другому пользователю по id канала?,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,"Категория вопроса: Персонализация
Вопрос: Можно ли предоставить доступ к студии канала другому пользователю по id канала?
Ответ: Нет, предоставление доступа возможно только по номеру телефона или электронной почте, привязанные к действующему профилю RUTUBE."
"Нет, предоставление доступа даже самого высокого уровня не даёт всех возможностей, которые имеются у владельца канала. Недоступны следующие возможности: Удаление канала, Управление настройками доступа к студии.",Можно ли через настройки канала в Студии RUTUBE предоставить полный доступ к моей студии?,ПРЕДЛОЖЕНИЯ,Студия RUTUBE,"Категория вопроса: Студия RUTUBE
Вопрос: Можно ли через настройки канала в Студии RUTUBE предоставить полный доступ к моей студии?
Ответ: Нет, предоставление доступа даже самого высокого уровня не даёт всех возможностей, которые имеются у владельца канала. Недоступны следующие возможности: Удаление канала, Управление настройками доступа к студии."
"Нет, приватные трансляции не отображаются в этих разделах. Просмотр возможен только по ссылке от автора.",Будет ли приватная трансляция отображаться на личной странице (канале) пользователя и в разделе RUTUBE «Все трансляции»?,ТРАНСЛЯЦИЯ,Просмотр трансляции,"Категория вопроса: Просмотр трансляции
Вопрос: Будет ли приватная трансляция отображаться на личной странице (канале) пользователя и в разделе RUTUBE «Все трансляции»?
Ответ: Нет, приватные трансляции не отображаются в этих разделах. Просмотр возможен только по ссылке от автора."
"Нет, скачать видео с RUTUBE не получится.

Копирование и скачивание видеороликов с платформы нарушает п. 2.1.1 пользовательского соглашения https://rutube.ru/info/agreement.",Можно ли скачать видео с RUTUBE?,ОТСУТСТВУЕТ,Отсутствует,"Категория вопроса: Отсутствует
Вопрос: Можно ли скачать видео с RUTUBE?
Ответ: Нет, скачать видео с RUTUBE не получится.

Копирование и скачивание видеороликов с платформы нарушает п. 2.1.1 пользовательского соглашения https://rutube.ru/info/agreement."
"Нет, только владелец канала может управлять настройками доступа и назначать роли.","Может ли пользователь, которому предоставлен доступ к студии канала, открывать доступ и назначать роли другим пользователям?",ПРЕДЛОЖЕНИЯ,Студия RUTUBE,"Категория вопроса: Студия RUTUBE
Вопрос: Может ли пользователь, которому предоставлен доступ к студии канала, открывать доступ и назначать роли другим пользователям?
Ответ: Нет, только владелец канала может управлять настройками доступа и назначать роли."
"Нет, трансляции музыкальных треков третьих лиц могут быть признаны пиратскими материалами, если это не свободная лицензия или общественное достояние.",Можно ли на RUTUBE стримить музыку?,МОДЕРАЦИЯ,Отклонение/блокировка видео,"Категория вопроса: Отклонение/блокировка видео
Вопрос: Можно ли на RUTUBE стримить музыку?
Ответ: Нет, трансляции музыкальных треков третьих лиц могут быть признаны пиратскими материалами, если это не свободная лицензия или общественное достояние."
"Нет, трансляции фильмов или сериалов могут быть расценены как пиратские материалы (с п. 4.10 ГПС).",Можно ли стримить на RUTUBE фильмы и сериалы?,МОДЕРАЦИЯ,Отклонение/блокировка видео,"Категория вопроса: Отклонение/блокировка видео
Вопрос: Можно ли стримить на RUTUBE фильмы и сериалы?
Ответ: Нет, трансляции фильмов или сериалов могут быть расценены как пиратские материалы (с п. 4.10 ГПС)."
"Нет, у пользователя с любым уровнем доступа нет возможности управлять подписками Владельца канала.",Может ли пользователь с правами Редактора управлять подписками Владельца канала?,ПРЕДЛОЖЕНИЯ,Студия RUTUBE,"Категория вопроса: Студия RUTUBE
Вопрос: Может ли пользователь с правами Редактора управлять подписками Владельца канала?
Ответ: Нет, у пользователя с любым уровнем доступа нет возможности управлять подписками Владельца канала."
"Нет, чтобы видео попало в раздел Shorts, ставить хештег в описании к нему необязательно.","Нужно ли ставить хештег #Shorts в описании видео, чтобы оно попало в раздел Shorts на главной?",ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: Нужно ли ставить хештег #Shorts в описании видео, чтобы оно попало в раздел Shorts на главной?
Ответ: Нет, чтобы видео попало в раздел Shorts, ставить хештег в описании к нему необязательно."
